,doc,sentence,statement,ARG0_highdim,ARG0_lowdim,B-V_highdim,B-V_lowdim,B-ARGM-NEG_highdim,B-ARGM-NEG_lowdim,B-ARGM-MOD_highdim,ARG1_highdim,ARG1_lowdim,ARG2_highdim,ARG2_lowdim,B-V_lowdim_with_neg,B-V_highdim_with_neg,narrative_highdim,narrative_lowdim
34029,101337555391365120,15742,34029,barackobama,barackobama,want,want,True,True,,interrupt vacation martha vineyard,amaze,,,want,want,barackobama want interrupt vacation martha vineyard,barackobama want amaze
34030,101337555391365120,15742,34030,barackobama,barackobama,interrupt,break,,,,vacation martha vineyard,rosie,,,not_break,not_interrupt,barackobama not_interrupt vacation martha vineyard,barackobama not_interrupt rosie
34036,101007545338044416,15745,34036,republican democrat,republican,work,work,,,,resolve downgrade,rating,,,not_work,not_work,republican democrat not_work resolve downgrade,republican not_work rating
34037,101007545338044416,15745,34037,republican democrat,republican,resolve,solve,,,,downgrade,rating,,,not_solve,not_resolve,republican democrat not_resolve downgrade,republican not_resolve rating
34055,99509371138093057,15758,34055,obama care,obama,,,,,,devastate impact economy,classify information,,,not_,not_,obama care not_ devastate impact economy,obama not_ classify information
34060,99210286686408704,15760,34060,china,china,demand,need,,,,raise debt ceiling,wall,,,not_need,not_demand,china not_demand raise debt ceiling,china not_demand wall
34067,99111356959162368,15765,34067,giovanni coal fire pizza florida,florida,donate,donate,,,,pizza feed police athletic league youngster ny,team,,,not_donate,not_donate,giovanni coal fire pizza florida not_donate pizza feed police athletic league youngster ny,florida not_donate team
34072,98832336774373378,15768,34072,morning joe panel,joe,steal,steal,,,,statement idea,right,,,not_steal,not_steal,morning joe panel not_steal statement idea,joe not_steal right
34074,98811808374194177,15769,34074,republican,republican,,,,,,free pas white house,house,obama,obama,not_,not_,republican not_ free pas white house,republican not_ house
34082,98764168760532992,15771,34082,china,china,eat,eat,,,,lunch,medium,,,not_eat,not_eat,china not_eat lunch,china not_eat medium
34096,97331526269800448,15778,34096,ex presidential pollster pat cadell,comey,,,,,,voter sick party failure,care,,,not_,not_,ex presidential pollster pat cadell not_ voter sick party failure,comey not_ care
34098,97324637268099072,15779,34098,blue ribbon panel,mini mike,study,read,,,,problem,problem,,,not_read,not_study,blue ribbon panel not_study problem,mini mike not_study problem
34101,96987458432020480,15782,34101,blue ribbon commission,mini mike,find,happen,,,,future spending cut,tax,,,not_happen,not_find,blue ribbon commission not_find future spending cut,mini mike not_find tax
34102,96987458432020480,15782,34102,blue ribbon commission,mini mike,agree,agree,,,,future spending cut,tax,,,not_agree,not_agree,blue ribbon commission not_agree future spending cut,mini mike not_agree tax
34115,96680585451421696,15790,34115,gop,gop,,,,,,best chance great deal,great,,,not_,not_,gop not_ best chance great deal,gop not_ great
34128,96311241231962112,15796,34128,people,people,ask,need,,,,pose picture,problem,,,not_need,not_ask,people not_ask pose picture,people not_ask problem
34129,96311241231962112,15796,34129,people,people,pose,set,,,,picture,story,,,not_set,not_pose,people not_pose picture,people not_pose story
34135,96237915633483776,15799,34135,high tax,tax,kill,kill,,,,job creation,business,,,not_kill,not_kill,high tax not_kill job creation,tax not_kill business
34136,96237915633483776,15799,34136,high tax,tax,cut,cut,,,,wild government spending waste,number,,,not_cut,not_cut,high tax not_cut wild government spending waste,tax not_cut number
34145,95857790689607681,15804,34145,fiscal,federal reserve,cut,cut,,,,fraud waste,collusion,,,not_cut,not_cut,fiscal not_cut fraud waste,federal reserve not_cut collusion
34147,95847438379794433,15805,34147,obama,obama,,,,,,business private sector background,business,,,not_,not_,obama not_ business private sector background,obama not_ business
34153,95521587649974273,15808,34153,congress,congress,,,,,,fiscal discipline,credibility,,,not_,not_,congress not_ fiscal discipline,congress not_ credibility
34160,93768615358251008,15810,34160,obama,obama,addict,addict,,,,spending america insolvency,america,,,not_addict,not_addict,obama not_addict spending america insolvency,obama not_addict america
34161,93768615358251008,15810,34161,obama,obama,spending,drop,,,,america,america,insolvency,vet,not_drop,not_spending,obama not_spending america,obama not_spending america
34165,93374129704677376,15813,34165,barackobama,barackobama,seek,try,,,,far destroy credit,rating,,,not_try,not_seek,barackobama not_seek far destroy credit,barackobama not_seek rating
34166,93374129704677376,15813,34166,barackobama,barackobama,destroy,destroy,,,,credit,rating,,,not_destroy,not_destroy,barackobama not_destroy credit,barackobama not_destroy rating
34168,93374129704677376,15813,34168,economy,economy,hemorrhage,hemorrhage,,,,job,people,,,not_hemorrhage,not_hemorrhage,economy not_hemorrhage job,economy not_hemorrhage people
34176,93044431564972032,15817,34176,gop,gop,waste,waste,True,True,,opportunity waste opportunity,right,,,waste,waste,gop waste opportunity waste opportunity,gop waste right
34177,93044431564972032,15817,34177,gop,gop,waste,waste,,,,opportunity,right,,,not_waste,not_waste,gop not_waste opportunity,gop not_waste right
34187,92992501585162240,15821,34187,doj,vet,erodes,erode,,,,nd amendment right,ad,,,not_erode,not_erodes,doj not_erodes nd amendment right,vet not_erodes ad
34210,91606323862581248,15835,34210,news,press,,,,,,best hotel,city,,,not_,not_,news not_ best hotel,press not_ city
34217,91562907762032640,15837,34217,barackobama,barackobama,try,try,,,,push gun control,gun,,,not_try,not_try,barackobama not_try push gun control,barackobama not_try gun
34218,91562907762032640,15837,34218,barackobama,barackobama,push,fight,,,,gun control,gun,,,not_fight,not_push,barackobama not_push gun control,barackobama not_push gun
34229,89369211993985024,15844,34229,house gop,gop,want,want,,,,cut medicare,tax,,,not_want,not_want,house gop not_want cut medicare,gop not_want tax
34230,89369211993985024,15844,34230,house gop,gop,cut,cut,,,,medicare,tax,,,not_cut,not_cut,house gop not_cut medicare,gop not_cut tax
34231,89369211993985024,15844,34231,obama,obama,,,,,,billion,million,medicare,tax,not_,not_,obama not_ billion,obama not_ million
34235,89368771428499456,15847,34235,tragedy,disaster,explode,explode,,,,deficit,interest,,,not_explode,not_explode,tragedy not_explode deficit,disaster not_explode interest
34236,89368771428499456,15848,34236,obama,obama,transfer,change,,,,billion,million,,,not_change,not_transfer,obama not_transfer billion,obama not_transfer million
34238,89353664183013376,15849,34238,iranian weapon,gun,kill,kill,,,,american,american,,,not_kill,not_kill,iranian weapon not_kill american,gun not_kill american
34267,85365407074107392,15862,34267,weekly phoner fox friend,fox,sound,sound,,,,issue day,important,,,not_sound,not_sound,weekly phoner fox friend not_sound issue day,fox not_sound important
34271,85350547737161728,15863,34271,people,people,attend,look,,,,acn national meeting,vet,,,not_look,not_attend,people not_attend acn national meeting,people not_attend vet
34295,80712447425650688,15877,34295,brand new,company,,,,,,look inside world trump golf,trump,,,not_,not_,brand new not_ look inside world trump golf,company not_ trump
34306,74124433735958528,15884,34306,soldier,dead,protect,protect,,,,great country,country,,,not_protect,not_protect,soldier not_protect great country,dead not_protect country
34308,73872324587302913,15885,34308,contestant,winner,watch,watch,,,,video,twitter,,,not_watch,not_watch,contestant not_watch video,winner not_watch twitter
34320,70198822797717504,15892,34320,difficult decision,tough,regard,consider,,,,presidential run,campaign,,,not_consider,not_regard,difficult decision not_regard presidential run,tough not_regard campaign
34327,69120590535081987,15896,34327,guest,story,rave,rave,,,,exclusive hotel mattress,wall,,,not_rave,not_rave,guest not_rave exclusive hotel mattress,story not_rave wall
34362,49887944063991808,15918,34362,people,people,,,,,,lot,thing,,,not_,not_,people not_ lot,people not_ thing
34363,49887944063991808,15918,34363,people,people,live,know,,,,life,people,,,not_know,not_live,people not_live life,people not_live people
34383,48100699418005504,15929,34383,thousand supporter,leader,join,join,,,,movement,leader,,,not_join,not_join,thousand supporter not_join movement,leader not_join leader
34446,37979493029122048,15965,34446,westminster dog,president xi,ask,need,,,,interested meeting hickory scottish deerhound won best,omarosa,,,not_need,not_ask,westminster dog not_ask interested meeting hickory scottish deerhound won best,president xi not_ask omarosa
34449,37979493029122048,15965,34449,scottish deerhound,omarosa,won,win,,,,best,people,,,not_win,not_won,scottish deerhound not_won best,omarosa not_won people
34459,35767358031134720,15973,34459,pier,wall,won,win,,,,celebrity apprentice,celebrity apprentice,,,not_win,not_won,pier not_won celebrity apprentice,wall not_won celebrity apprentice
34473,30735120168128512,15977,34473,factory,company,compete,compete,,,,china country,country,,,not_compete,not_compete,factory not_compete china country,company not_compete country
34513,284761957670727681,15997,34513,washington,washington,,,,,,dumbest thing,hater loser,,,not_,not_,washington not_ dumbest thing,washington not_ hater loser
34519,284756552445997056,16000,34519,young entrepreneur,family,enter,enter,,,,business world,people,,,not_enter,not_enter,young entrepreneur not_enter business world,family not_enter people
34531,284748270494961665,16004,34531,obama,obama,want,want,,,,tax,tax,,,not_want,not_want,obama not_want tax,obama not_want tax
34539,284741754018754560,16006,34539,deal complete fiscal curb,federal reserve,,,,,,tangible cut expenditure baseline spending,careful,,,not_,not_,deal complete fiscal curb not_ tangible cut expenditure baseline spending,federal reserve not_ careful
34542,284735836258451456,16007,34542,republican,republican,hold,support,,,,card,letter,,,not_support,not_hold,republican not_hold card,republican not_hold letter
34588,284408899849822208,16032,34588,washington,washington,try,try,,,,find solution fiscal cliff,swamp,,,not_try,not_try,washington not_try find solution fiscal cliff,washington not_try swamp
34589,284408899849822208,16032,34589,washington,washington,find,happen,,,,solution,careful,,,not_happen,not_find,washington not_find solution,washington not_find careful
34591,284401034523189249,16033,34591,macmillers donald trump,donald trump,cross,cover,,,,million view,right,,,not_cover,not_cross,macmillers donald trump not_cross million view,donald trump not_cross right
34600,284386673268252672,16036,34600,mittromney,mittromney,want,want,True,True,,president,president,,,want,want,mittromney want president,mittromney want president
34609,284070287773929473,16040,34609,state,state,,,,,,progress,careful,,,not_,not_,state not_ progress,state not_ careful
34611,284070150511144960,16041,34611,republican,republican,watch,watch,,,,politician try deal,leader,,,not_watch,not_watch,republican not_watch politician try deal,republican not_watch leader
34612,284070150511144960,16041,34612,politician,politician,try,try,,,,deal,deal,,,not_try,not_try,politician not_try deal,politician not_try deal
34613,284070150511144960,16041,34613,politician,politician,,,,,,deal,deal,,,not_,not_,politician not_ deal,politician not_ deal
34656,282158664226320385,16069,34656,abc,tv,apologize,apologize,,,,stupid statement,crazy,,,not_apologize,not_apologize,abc not_apologize stupid statement,tv not_apologize crazy
